Author,Fields
David Hestenes,physics;quant-ph;gr-qc;quant-ph;physics;math-ph;math;math-ph;gr-qc;hep-ph
John Spiletic,cs;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
I. E. Lagaris,physics;quant-ph;cs;nucl-th;cs;physics;math;math;math;math
Ruxandra I. Dima,q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;cond-mat;math;math;physics
T. Lauritsen,physics;nucl-ex;nucl-ex;hep-lat;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
Jeannette C. M. Janssen,math;math;math;math;cs;cs;math;cs;math;physics
Jan Obloj,math;math;q-fin;math;math;math;q-fin;math;q-fin;q-fin
Shakir Mohamed,stat;stat;stat;cs;stat;stat;stat;stat;stat;stat
F. Brau,hep-ph;quant-ph;hep-ph;physics;quant-ph;hep-ph;nucl-th;math-ph;hep-th;hep-ph
L Kerem Senel,eess;cs;quant-ph;quant-ph;cs;cs;cs;physics;q-fin;math
Warren White,math;math;math;astro-ph;math;astro-ph;astro-ph;math;math;astro-ph
F. Bieser,nucl-ex;nucl-ex;nucl-ex;hep-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;cond-mat;cond-mat
Fahimeh Bahmaninezhad,eess;cs;math;math;math;math;cs;math;math;math
Masaharu Imai,cs;cond-mat;cond-mat;hep-ph;hep-ph;math;math;cond-mat;math;math
L. Bass,math;math;cond-mat;math-ph;physics;cs;math;physics;math;cs
Steven G. Krantz,math;math;math;math;math;math;math;math;math;math
M. Rogalla,hep-ex;hep-ex;physics;cond-mat;cond-mat;physics;cond-mat;nucl-ex;cond-mat;hep-ex
E. L. Martin,nucl-th;math;math;physics;astro-ph;quant-ph;cond-mat;cond-mat;cond-mat;math
Luchezar L. Avramov,math;math;math;math;math;math;math;math;math;math
T. Uezu,nlin;cond-mat;cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat;nlin;cond-mat
Anton Stiglic,cs;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;math;math;math;math
Krithi Ramamritham,cs;cs;cs;cs
A. Armaou,nlin;math;nlin;math;cond-mat;cond-mat;astro-ph;hep-ph;math;astro-ph
J-G. Caputo,math;math;math;math;math;math;math;math;math;math
E. Fawcett,math;math;math;cond-mat;cond-mat;cond-mat;cs;hep-ex;math;cs
L. Nicoletti,cond-mat;physics;cond-mat;cond-mat;cond-mat;cond-mat;hep-ex;hep-ex;cond-mat;nucl-ex
Paolo Palazzari,cs;math;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Arnaud Guillin,math;math;math;math;math;math;math;math;math;math
W Chen,math;math;math-ph;cs;cs;cs;math;cond-mat;cs;cs
Kevin F. Wong,math;math;math;math;math;math;math;math;math;math
John M. Pierre,hep-th;cs;hep-th;math;astro-ph;math;cs;math;math;math
Thomas Lux,cs;math;astro-ph;cond-mat;q-fin;physics;astro-ph;hep-ph;hep-ph;cond-mat
Hajime Yoshino,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
F. Ghio,physics;hep-ex;nucl-ex;nucl-ex;hep-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;hep-ex
M. Nieto-Vesperinas,physics;physics;physics;cond-mat;physics;physics;physics;physics;physics;physics
F. Sander,cond-mat;math;quant-ph;quant-ph;physics;astro-ph;cond-mat;astro-ph;astro-ph;nucl-th
J. Burde,math;physics;math;math;math;nucl-ex;math;math;math;math
Sylvain Marchand,cs;cond-mat;hep-th;hep-th;hep-th;math;math;math;math;math
Wolfram Lorenz,physics;nlin;nlin;cond-mat;cond-mat;cond-mat;cs;math;gr-qc;hep-lat
Davood Rafiei,cs;cs;cs;cs;cs;hep-th;hep-th;hep-th;hep-th;hep-th
Fares Triki,q-fin;astro-ph;cs;math;math;math;math;cs;math;astro-ph
G. Milcinski,cs;physics;physics;q-bio;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Pablo Jensen,physics;cond-mat;cond-mat;cond-mat;physics;stat;cond-mat;physics;physics;physics
Michael Ward,cond-mat;hep-th;hep-ph;hep-ph;hep-th;math-ph;hep-th;hep-ph;hep-th;hep-th
Pravir Singh Gupta,eess;math;math;stat;stat;nucl-th;cs;hep-th;cond-mat;cs
D. J. Cook,cs;physics;cs;astro-ph;cs;astro-ph;astro-ph;astro-ph;nucl-ex;hep-lat
N. T. Porile,hep-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
A. Marciniuk,math;cond-mat;cond-mat;astro-ph;hep-ph;math;astro-ph;astro-ph;astro-ph;astro-ph
L. Turban,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Carlos Cassino,cs;math;math;math;math;math;math;cond-mat;cond-mat;cs
William B. Johnson,physics;math;math;math;math;math;math;math;math;math
Dave Bayer,math;math;math;math;math;math;astro-ph;astro-ph;astro-ph;hep-ph
J. Ripoll,physics;quant-ph;math;quant-ph;math;quant-ph;math;cond-mat;cond-mat;cond-mat
Alex Levine,cond-mat;math;cond-mat;cond-mat;cond-mat;cond-mat;hep-ph;cond-mat;cond-mat;cond-mat
Boris Zaltzman,q-bio;cond-mat;physics;physics;physics;physics;astro-ph;astro-ph;cond-mat;cond-mat
 Arvind,quant-ph;astro-ph;cs;gr-qc;gr-qc;gr-qc;hep-th;hep-th;hep-th;hep-th
Emre Kopanoglu,eess;gr-qc;math;astro-ph;astro-ph;math;math;cs;astro-ph;cs
Gaurab Aryal,q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;physics;math;math;math
Steffen Reith,cs;cs;cs;cs;astro-ph;astro-ph;cond-mat;cond-mat;cs;hep-ph
Tuomas Sandholm,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Eva Biener,q-bio;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th
Jonathan Z. Simon,math-ph;math;math;math;math;math;hep-th;math;hep-ex;math
Herbert Stahl,math;math;math;math;math;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
D. Guirado,astro-ph;astro-ph;astro-ph;physics;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
V. Papavassiliou,hep-ph;hep-ph;cond-mat;hep-ph;hep-ph;hep-ph;cond-mat;hep-ph;hep-ph;cond-mat
Petra Barg,cs;cs;math;math;math;physics;physics;physics;physics;cs
Kenneth Dalton,physics;physics;gr-qc;gr-qc;physics;gr-qc;physics;physics;physics;physics
Joe Jenkins,math;cs;gr-qc;gr-qc;gr-qc;hep-lat;hep-lat;hep-ph;hep-ph;hep-ph
Stanislaw J. Szarek,quant-ph;math;math;math;math;math;math;math;quant-ph;math
Georgi Karadzhov,math;math;cs;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph
Johannes Gaertner,cs;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
William Aiello,cs;math;astro-ph;cond-mat;cond-mat;cs;cs;cs;cs;cs
Jan Kallsen,q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;math;q-fin
Ray Cowan,cs;hep-ex;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;gr-qc
Andreas Krause,cond-mat;q-fin;cs;cs;cs;astro-ph;cs;cs;cs;stat
J. Kintner,astro-ph;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
Zuo Quan Xu,q-fin;q-fin;q-fin;math;math;q-fin;q-fin;q-fin;q-fin;q-fin
I. J. Lautenschleguer,math;math;physics;physics;hep-ph;hep-ph;physics;physics;nucl-th;math
Brendan Pass,math;math;math;math;math;math;math;math;math;math
Vern Paxson,cs;cs;cs;cs;cs;cs;cs;math;math;math
Miroslaw Latka,physics;nlin;physics;physics;physics;q-bio;physics;q-bio;q-bio;cs
Jan P. Radomski,q-bio;cond-mat;q-bio;q-bio;q-bio;q-bio;math;math;math;math
Bebo White,cs;cs;astro-ph;astro-ph;astro-ph;math;astro-ph;astro-ph;astro-ph;astro-ph
Chengyan Liu,math;math;math;physics;math;cs;math;math;math;math
M. P. Wand,stat;stat;math;math;math;q-bio;stat;stat;physics;gr-qc
J. Nelson,gr-qc;gr-qc;math-ph;gr-qc;cond-mat;math-ph;cond-mat;gr-qc;gr-qc;math-ph
Andreas Weisensee,cs;cs;nlin;math;math;math;astro-ph;astro-ph;astro-ph;astro-ph
Weixing He,astro-ph;cs;hep-th;physics;physics;physics;physics;physics;physics;physics
Zhenzhong Chen,eess;cs;cs;cond-mat;cs;cs;cond-mat;cs;physics;cs
A. S. Yelkhovsky,hep-th;physics;hep-ph;hep-ph;hep-ph;physics;hep-ph;hep-ph;hep-ph;hep-ph
Johan Jersblad,quant-ph;cond-mat;astro-ph;cs;cs;cs;cs;cs;cs;cs
Steven E. Brenner,q-bio;q-bio;q-bio;math;math;astro-ph;math;math;stat;math
Martin Lorenz,math;math;math;math;math;math;math;math;math;math
B. R. Schlei,cs;nucl-th;physics;cs;cs;nucl-th;nucl-th;nucl-th;cs;cs
Burkhard D. Steinmacher-Burow,cs;cs;cs;cs;math;nucl-th;cond-mat;cond-mat;hep-ph;math
Zhimin Jiang,nlin;cs;math;math;cs;cs;cs;math;cond-mat;math
Peng-Ye Wang,quant-ph;math;physics;cond-mat;math;math;math;quant-ph;quant-ph;cs
Ulrich Behn,q-bio;nlin;cond-mat;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;q-bio
E. Sh. Gutshabash,nlin;nlin;nlin;nlin;nlin;nlin;nlin;nlin;nlin;nlin
Andrew Beckwith,physics;cond-mat;q-bio;physics;physics;cond-mat;math;math;astro-ph;astro-ph
V. E. Centonze,q-bio;physics;cond-mat;math;astro-ph;math;cond-mat;hep-ph;physics;astro-ph
d'Artis Kancs,q-fin;q-fin;q-fin
Theophanes T. Hatjimihail,cs;physics;nlin;cond-mat;cs;gr-qc;gr-qc;cs;nlin;math
Leonard Vanwyk,math;cond-mat;gr-qc;gr-qc;gr-qc;hep-ph;hep-th;hep-th;hep-th;hep-th
C. Naudet,astro-ph;astro-ph;astro-ph;astro-ph;nucl-ex;nucl-ex;astro-ph;astro-ph;astro-ph;astro-ph
A. Soldner-Rembold,hep-ph;hep-ex;physics;hep-ex;physics;hep-ex;hep-ex;hep-ex;hep-ex;hep-ex
L. Ten Eyck,cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Y. V. Mironov,hep-th;q-bio;hep-th;hep-th;hep-th;physics;cond-mat;cond-mat;hep-th;cond-mat
G. A. Kotel'nikov,physics;physics;physics;nucl-ex;quant-ph;physics;physics;physics;quant-ph;quant-ph
M. E. Fantacci,physics;physics;physics;physics;physics;physics;physics;physics;physics;physics
Jan Patera,cs;cond-mat;math;math;math;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat
Igor Zutic,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Gilles Neron de Surgy,physics;math;cond-mat;astro-ph;gr-qc;gr-qc;math;gr-qc;math;math
J. E. F. Skea,gr-qc;astro-ph;gr-qc;math;math-ph;math;nlin;gr-qc;gr-qc;cond-mat
Subrata Chakrabarty,q-fin;astro-ph;astro-ph;astro-ph;nucl-th;nucl-th;hep-ph;math;cs;astro-ph
Ruguang Zhou,nlin;nlin;nlin;nlin;nlin;nlin;nlin;nlin;cond-mat;cond-mat
V. I. Kozub,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
C. V. Giuraniuc,q-bio;q-bio;cond-mat;q-bio;cond-mat;cond-mat;q-bio;physics;q-bio;q-bio
Randal Douc,math;math;stat;math;math;stat;math;math;math;stat
Ashok Kumar Gupta,math;astro-ph;cond-mat;physics;astro-ph;cond-mat;cond-mat;cond-mat;math;math
M. Epstein,hep-th;hep-th;hep-th;math;quant-ph;hep-th;math;hep-th;math;hep-th
Liana Baroni,math;math;math;math;math;math;math;math;math;math
Eric Bedford,math;math;math;math;math;math;math;math;math;math
Artur Rataj,cs;cs;cs;cs;cs;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
S. S. Nikulichev,nlin;math;math;math;math;math;math;math;math;nucl-ex
Denis Pellerin,cs;cs;astro-ph;astro-ph;nlin;nlin;cond-mat;cond-mat;cond-mat;cond-mat
Douglas R. Anderson,math;math;math;math;math;math;math;math;math;math
Ratan Kumar Das,physics;physics;physics;physics;math;math;math;physics;physics;cond-mat
Xin Xie,math;math;math;gr-qc;math;math;quant-ph;gr-qc;gr-qc;gr-qc
Robert Langlands,math;hep-th;math-ph;math;math;math;math;math;math;math
Raj Jain,cs;cs;physics;cs;cs;physics;cs;cs;cs;cs
Shashank Mishra,cs;econ;cs;cs;cond-mat;hep-ph;hep-ph;cs;hep-ph;math
Bart de Smit,math;math;math;math;math;math;math;math;math;math
Ove Lindblom,nlin;math;math;math;quant-ph;cond-mat;cond-mat;quant-ph;math;math
Zoya Symenoh,math-ph;cs;cs;physics;cs;cs;cs;nlin;physics;physics
Eugene Tsvetkov,q-bio;cond-mat;cond-mat;cond-mat;cond-mat;math;hep-ph;hep-ph;hep-ph;hep-ph
Edward C. Waymire,math;math;math;math;math;math;math;math;math;math
R. D. McKeown,hep-ph;physics;hep-ex;physics;nucl-ex;physics;astro-ph;astro-ph;hep-ph;hep-ph
Stoyan J. Vlaev,physics;physics;physics;physics;physics;hep-th;astro-ph;q-fin;astro-ph;physics
Gerd Muller,math;math;math;math;cond-mat;cond-mat;cond-mat;cond-mat;math;math
Frank Sander,physics;physics;math;quant-ph;astro-ph;nlin;math;math;math;math
Olivier Alata,stat;math;cs;cs;cs;cs;math;math;math;math
T. Neuhaus,hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;cond-mat;cond-mat;hep-lat;hep-lat;hep-lat
Boris A Malomed,nlin;physics;physics;physics;nlin;cond-mat;cond-mat;physics;cond-mat;cond-mat
R. A. Andersen,hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;astro-ph;cond-mat;astro-ph;hep-ph;hep-ph
Jozsef Steger,cond-mat;cond-mat;eess;cs;physics;stat;cs;cs;cond-mat;cond-mat
R. Adams,math;math;math;math;hep-th;hep-th;math;gr-qc;hep-th;math
G. Berginc,physics;physics;cond-mat;physics;physics;physics;cond-mat;math;math;astro-ph
J. F. Gomes,hep-th;math-ph;nlin;nlin;nlin;hep-th;math;math;hep-th;hep-th
Paul Albuquerque,cs;physics;math;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
I. E. Kuznetsova,quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;nucl-ex;cond-mat;quant-ph
Chagay Orenshtein,cs;math;math;math;math;math;math;math;math;math
Francis C. Chu,cs;math;math;nlin;math;math;cs;cs;cs;cs
D. Flamm,physics;physics;cond-mat;cond-mat;gr-qc;q-bio;physics;q-bio;cs;gr-qc
L. Alvado Carcel,cs;physics;physics;physics;hep-ex;physics;physics;physics;physics;physics
Carlos C. Rodriguez,physics;physics;physics;physics;cs;physics;physics;physics;cond-mat;math
Monica Lagazio,cs;stat;astro-ph;astro-ph;hep-ex;math;math;math;math;math
Ahmet E. Bulut,eess;eess;math;math;cond-mat;hep-ph;math;cs;hep-ph;math
J-M. Petit,physics;math;math;cs;math;math;physics;physics;cs;math
P. Oliva,astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;physics;astro-ph;astro-ph;astro-ph;hep-ph
Fengzhong Wang,q-fin;physics;q-fin;q-fin;physics;q-fin;physics;q-fin;physics;q-fin
David Dean,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Zheng-Xu He,astro-ph;nucl-th;astro-ph;nucl-ex;cond-mat;cond-mat;nucl-th;cond-mat;physics;cond-mat
J. Leon,nlin;nlin;nlin;gr-qc;cond-mat;nlin;nlin;quant-ph;physics;quant-ph
Domenico Camarda,cs;cs;cond-mat;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc
B. Enriquez,math;math;math;math;hep-th;math;math;math;math;math
R. Leigh,hep-th;hep-th;hep-th;hep-th;hep-th;hep-ph;hep-ph;hep-ph;hep-th;hep-th
A. Dogac,cs;cs;cs;cond-mat;cond-mat;astro-ph;hep-ph;math;astro-ph;astro-ph
Gun Srijuntongsiri,cs;cs;cs;cs;cs;cs;math;math;math;hep-th
Martin G. Burke,q-bio;math;math;math;math;math;math;math;math;math
U. Blasum,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;hep-ph;nucl-ex;hep-ph;astro-ph;hep-ph
Yuri S. Kivshar,nlin;cond-mat;nlin;physics;nlin;nlin;physics;nlin;nlin;physics
Noa Kfir-Dahav,math;math;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Chen Li,cs;math;math;math;math;math;math;math;cs;cs
T. Allison,cs;hep-lat;physics;physics;hep-ph;math;hep-lat;hep-ph;math;cs
Stefan G. Llewellyn Smith,physics;physics;math;math;math;math;cs;math;math;math
J. F. J. van den Brand,nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;physics;gr-qc
G. Gaeta,math-ph;math-ph;math-ph;math-ph;math-ph;math-ph;q-bio;math-ph;math-ph;math-ph
B. Dutta,hep-ph;cond-mat;hep-ph;hep-ph;hep-th;hep-th;cond-mat;hep-ph;hep-ph;hep-ph
Stefano Ceri,cs;cs;cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat
James P. Sethna,cond-mat;cond-mat;cond-mat;cond-mat;nlin;nlin;cond-mat;cond-mat;cond-mat;cond-mat
B. Herman,math;physics;cs;math;math;math;cond-mat;cond-mat;math;q-bio
Nino Boccara,nlin;nlin;cond-mat;cond-mat;nlin;nlin;nlin;nlin;nlin;nlin
Knut Jorgen Maloy,physics;cond-mat;physics;physics;physics;cond-mat;physics;cond-mat;cond-mat;physics
Emanuele Pugliese,cond-mat;physics;q-fin;physics;q-fin;q-fin;q-fin;q-fin;q-fin;q-fin
Angela Bonifati,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Stanislaw Cebrat,q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;q-bio
David Karger,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Tim J. P. Hubbard,math;math;q-bio;q-bio;q-bio;math-ph;math;physics;math;math
F. Fauci,physics;physics;physics;physics;physics;physics;physics;physics;physics;physics
Matthew P. A. Fisher,astro-ph;cond-mat;q-bio;cond-mat;math;math;math;math;math;math
Michael Kernaghan,quant-ph;quant-ph;math;math;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Padhraic Smyth,stat;stat;cs;cs;cs;stat;cs;cs;stat;stat
R. Ganesh,cs;cond-mat;cond-mat;cond-mat;nlin;nlin;cond-mat;cond-mat;cond-mat;cond-mat
S. Kraft,math;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat
Richard J. Gardner,math;math;math;math;math;math;math;math;math;math
Alexander M. G. Cox,math;q-fin;math;q-fin;q-fin;math;q-fin;q-fin;q-fin;math
Ralf Bundschuh,cond-mat;cond-mat;q-bio;physics;physics;q-bio;q-bio;cond-mat;physics;physics
Fabio Crestani,cs;cs;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat
N. Giglioli,cs;astro-ph;astro-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph
T. M. Holden,quant-ph;cond-mat;cond-mat;astro-ph;cond-mat;cond-mat;astro-ph;math;physics;astro-ph
Bertrand Villeneuve,q-fin;physics;math-ph;physics;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
D. Sagi,q-bio;q-bio;q-bio;astro-ph;cond-mat;gr-qc;astro-ph;cond-mat;astro-ph;astro-ph
Liadan Ita O'Callaghan,cs;cs;hep-th;cs;cs;cs;cs;cs;cs;cs
E. Formenti,nlin;cs;physics;physics;physics;cs;cs;q-fin;q-fin;stat
E. Rubel,cond-mat;math;astro-ph;astro-ph;nucl-ex;astro-ph;cond-mat;physics;math;math
J. L. Ritman,nucl-ex;nucl-ex;hep-ph;nucl-th;nucl-ex;nucl-ex;hep-ex;nucl-ex;nucl-ex;nucl-ex
J. Rasmussen,math;math;hep-th;math;math;math;hep-th;physics;hep-th;physics
Svetlana Ya. Jitomirskaya,math-ph;math;math;math;math;math;math-ph;math;math;math-ph
Carlos Castillo-Chavez,math;math;math;math;math;math;cond-mat;cond-mat;cs;cs
Russ Abbott,cs;cs;cs;cs;cs;cond-mat;cond-mat;math;math;math
Paulette Saab,math;math;math;math;q-fin;cond-mat;cond-mat;physics;physics;math
C. Sibley,cs;physics;physics;physics;physics;physics;physics;math;math;physics
Marc Arnaudon,math;math;math;math;math;math;math;cs;math;math
Kin Y. Li,math;math;math;cs;cond-mat;math;cond-mat;cs;math;nlin
Maurice HT Ling,cs;cs;cs;cs;cs;cs;cs;cs;cond-mat;cs
Hatem Hadj Kacem,cs;cs;cs;math;math;math-ph;math;hep-th;hep-th;hep-th
E. L. Hjort,nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
Hitoshi Ishii,math;math;math;math;math;math;math;math;math;math
Jack Milnor,math;cond-mat;cond-mat;cond-mat;gr-qc;hep-lat;hep-lat;hep-lat;math;math
J. F. Babb,physics;physics;physics;physics;physics;physics;physics;physics;physics;physics
Leonid A. Levin,math;gr-qc;cs;cs;cs;cs;cs;cs;cs;cs
V. A. Nechitailo,hep-th;hep-ph;hep-ex;nucl-th;nucl-th;hep-ph;hep-th;hep-ph;hep-ph;hep-ph
Karen Uhlenbeck,math;math;math;cond-mat;math;math;nlin;math;math;math
Christopher J. Bishop,math;math;math;math;math;math;math;quant-ph;math;math
Samir Bhalla,cs;quant-ph;quant-ph;math;math;astro-ph;physics;physics;math;math
Les Carr,cs;cs;cs;cs;cs;cs;cs;cs;q-bio;math
Housila P. Singh,stat;math;math;math;math;cs;math;cond-mat;hep-ex;physics
Melissa A. Castillo-Garsow,math;physics;physics;math;math;math;math;math;hep-ex;math
Jan Ramon,math;math;cs;math;math;cs;q-bio;cs;cond-mat;cond-mat
Hsiu-Hau Lin,physics;math;math;math;math;physics;physics;math;math;math
Siddhesh Bhobe,cs;cs;cs;physics;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Ivan Medovikov,q-fin;q-fin;math;nlin;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Jean Slisz,cs;cs;math;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat
Javier Diaz,math;physics;cs;hep-ph;cs;hep-ph;hep-ph;hep-ph;math;astro-ph
Andras Lorincz,q-bio;cs;cs;cs;cs;cs;cs;cs;cs;math
T. Maniv,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Thomas Jech,math;math;math;math;math;math;math;math;math;math
Jason A. Osborne,stat;math;math;math;math;math;math-ph;math;math;math
Victor Yakhot,nlin;nlin;physics;physics;physics;nlin;nlin;physics;physics;nlin
R. M. Diamond,cs;physics;quant-ph;math;cond-mat;physics;cond-mat;cond-mat;cond-mat;physics
Maxim Bobrov,math;q-fin;math;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Nancy Kopell,math;q-bio;hep-ex;physics;stat;cs;math;math;math;math
Jose M Vidal,cs;cs;cs;cs;hep-th;gr-qc;math;physics;hep-th;math
Andrea Zaccaria,q-fin;q-fin;q-fin;q-fin;physics;q-fin;q-fin;q-fin;q-fin;q-fin
Steven Gottlieb,hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat
Lawrence R. Pratt,physics;physics;physics;physics;physics;physics;physics;physics;physics;physics
Robert G. Edwards,hep-lat;hep-lat;hep-lat;hep-th;nlin;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat
R. Ent,quant-ph;quant-ph;hep-lat;hep-ph;hep-ph;nucl-ex;hep-ph;nucl-ex;nucl-ex;quant-ph
V. Kurasov,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;physics;physics;cond-mat;cond-mat
Arthur G. Wasserman,gr-qc;math;math;hep-th;math;math;gr-qc;gr-qc;math;hep-th
Mitchell D. Trott,math;q-bio;q-bio;cs;cs;math;quant-ph;astro-ph;cs;cs
C. J. Benesh,nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;astro-ph;nucl-th;hep-ph;nucl-th;nucl-th
Michael Christ,math;math;math;math;math;math;math;math;math;math
Gerrit Burgers,physics;physics;nlin;cond-mat;physics;astro-ph;physics;math;physics;physics
D. T. Nisius,nucl-ex;nucl-ex;nucl-ex;hep-ex;hep-ex;hep-ph;hep-ph;hep-ex;hep-ex;hep-ex
Shipra Agrawal,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Guanghong Wei,cond-mat;q-bio;cond-mat;math;math;quant-ph;math;math;math;math
K. Yabana,nucl-th;physics;nucl-th;nucl-th;nucl-th;physics;physics;cond-mat;physics;cond-mat
Lorenzo Silengo,q-bio;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;math;gr-qc
N. Mukunda,hep-ph;physics;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;math-ph;physics
D. Pomarede,cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cs;astro-ph
Yu. I. Shokin,physics;math;hep-th;stat;math;hep-th;cond-mat;hep-th;hep-th;hep-th
Jodie A. Smith,stat;astro-ph;astro-ph;q-bio;q-bio;math;math;quant-ph;q-bio;math
Mohamed-Slim Alouini,physics;cs;physics;physics;physics;cs;cs;cs;physics;physics
Kenichi Yoshikawa,cond-mat;cond-mat;nlin;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;nlin;physics
J. R. B. Oliveira,cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat;astro-ph;astro-ph;cond-mat;cond-mat
Jonathan Huntley,hep-th;math;math;hep-th;q-bio;cond-mat;math;math;math;astro-ph
Babacar Seck,q-fin;q-fin;math;stat;math;nucl-th;nlin;math;math;stat
Judith L. Klavans,cs;cs;astro-ph;cs;cs;cs;math;astro-ph;math;hep-ph
Markus Brede,nlin;nlin;nlin;cond-mat;cond-mat;nlin;cond-mat;cond-mat;cond-mat;cond-mat
G. N. C. Kirby,cs;astro-ph;cond-mat;math;physics;astro-ph;astro-ph;astro-ph;hep-ph;astro-ph
Michele Caselle,hep-lat;hep-lat;hep-th;hep-th;hep-th;math;cond-mat;hep-lat;hep-lat;hep-lat
Philippe Monfort,q-fin;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cs;cond-mat
Genesis Alvarez,physics;eess;gr-qc;hep-th;math;hep-th;math;physics;math;math
S. Majid,math;math;math;math;math;math;math;math;math;hep-th
A. Insolia,astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
