Author,Fields
Ankur Agarwal,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Wenyao Shi,nlin;q-bio;cs;hep-ph;cs;math;cond-mat;math;math;math
Alex D Gottlieb,math;math;math;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph
V. S. Olkhovsky,quant-ph;quant-ph;nucl-th;quant-ph;physics;nucl-th;nucl-th;quant-ph;nucl-ex;cond-mat
Brooke Shipley,math;math;math;math;math;math;math;math;math;math
J. McCarthy,math;math;gr-qc;math;math;hep-th;math;math;gr-qc;hep-th
Lian Zheng,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Wayne Wolf,cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cs;astro-ph;astro-ph;astro-ph
Enrico Montanari,gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;stat;gr-qc;physics
A. Pickford,physics;physics;cs;cond-mat;cond-mat;astro-ph;hep-ph;math;astro-ph;astro-ph
Zhanjun Lu,quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;q-bio;quant-ph;quant-ph;quant-ph;quant-ph
Chunhua Ou,math;math;q-bio;cond-mat;cs;cs;math-ph;math;math;math
Petr Seba,nlin;physics;physics;physics;physics;physics;quant-ph;math-ph;quant-ph;math-ph
M. Bougteb,nucl-ex;nucl-ex;nucl-ex;math;math;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat
Klaus Schilling,hep-lat;cs;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;math
Pierre Lecomte,cs;math;cs;math;math;math;math;math;math;astro-ph
R. L. Sugar,hep-lat;cond-mat;cond-mat;hep-lat;physics;cond-mat;hep-lat;hep-lat;hep-lat;hep-lat
John D. Lorch,math;math;math;cond-mat;math;cond-mat;math;math;cond-mat;hep-ph
Lawrence Krauss,hep-ph;hep-ph;astro-ph;astro-ph;hep-ph;hep-ph;astro-ph;astro-ph;hep-ph;physics
R. Geppert,astro-ph;hep-ex;hep-ex;cond-mat;physics;physics;astro-ph;physics;hep-ex;physics
J. L. Romero,quant-ph;gr-qc;quant-ph;quant-ph;quant-ph;physics;math-ph;quant-ph;quant-ph;gr-qc
Sofia Cavaco,eess;eess;astro-ph;astro-ph;math;math;quant-ph;quant-ph;quant-ph;quant-ph
J. Doyne Farmer,nlin;physics;cond-mat;nlin;cond-mat;physics;q-fin;q-fin;nlin;cond-mat
Mika Gustafsson,q-bio;physics;cond-mat;math;math;cs;math;hep-ex;hep-ex;cond-mat
B. Nandy,hep-ph;hep-ph;gr-qc;physics;hep-ph;physics;hep-ph;q-bio;hep-ph;physics
Ron Holzman,math;math;cs;math;math;cond-mat;cond-mat;cond-mat;cond-mat;gr-qc
Michael Struwe,math;math;math;math;math;math;math;math;math;math
Angel E. Garcia,physics;q-bio;physics;physics;physics;gr-qc;cond-mat;physics;q-bio;math
P. Seidl,cond-mat;physics;cond-mat;physics;physics;physics;physics;cond-mat;cond-mat;cond-mat
Babajide O. Ayinde,eess;cs;math;cs;cs;cs;cs;nucl-th;math;cond-mat
Alberto Corso,math;math;math;math;math;math;math;math;math;math
P. Czarapata,cs;physics;astro-ph;astro-ph;physics;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Cynthia Dwork,cs;cs;cs;cs;cs;math;cs;cs;cs;cs
Rob F. Van der Wijngaart,cs;cs;astro-ph;astro-ph;cs;astro-ph;math;math;math;cs
Davide La Torre,math;math;cond-mat;q-fin;quant-ph;math;astro-ph;cond-mat;math;cond-mat
Eric M. Friedlander,math;math;math;math;math;math;math;math;math;math
Andrew Smith,quant-ph;math;math;stat;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;math
Jianhong Wu,stat;math;math;q-bio;q-bio;hep-ph;hep-ph;hep-ph;q-fin;hep-ph
Stacy Williams,astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;hep-ph;astro-ph
Mir Farooq Ali,cs;cs;hep-ph;hep-ph;gr-qc;hep-th;gr-qc;gr-qc;gr-qc;math
Markus Fiedler,cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat
C. O. Weiss,hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;nlin;hep-ph;nlin;nlin;nlin
Zhaowei Zhu,cs;eess;cs;physics;nlin;cs;cs;cs;cs;physics
Sudhir Kumar Singh,quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;cs;cs;cond-mat
Bert van Es,math;math;math;math;stat;math;stat;math;math;math
Sanjeev Kulkarni,cs;cs;cs;cs;cs;cs;cs;math;stat;cs
Ferdinando Di Cunto,astro-ph;q-bio;hep-lat;q-bio;q-bio;q-bio;hep-ex;cond-mat;physics;cond-mat
Jack J. Dongarra,math;math;nlin;math;cond-mat;cs;cond-mat;cs;cs;cs
E. G. Bessonov,physics;physics;physics;physics;physics;physics;physics;physics;physics;physics
Gustavo Arial Sznaider,q-bio;physics;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph
Tetsuya Takaishi,hep-lat;hep-lat;cond-mat;hep-lat;physics;q-fin;q-fin;q-fin;q-fin;q-fin
Dietmar Wendt,physics;physics;cond-mat;cond-mat;cond-mat;gr-qc;hep-th;hep-th;hep-th;math
Gavin E. Crooks,math;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Joel Huselius,cs;cs;cs;cs;cs;gr-qc;hep-lat;hep-lat;hep-lat;hep-lat
M. A. Krzyzowski,cond-mat;physics;math;astro-ph;cs;cs;gr-qc;gr-qc;astro-ph;astro-ph
Jonathan Gratus,math;math;math;math;math;math;physics;math;math;math
V. N. Melekhin,physics;quant-ph;math;nlin;math;math;math;cond-mat;math;math
L. H. A. Monteiro,physics;astro-ph;physics;physics;cond-mat;cond-mat;hep-th;quant-ph;quant-ph;astro-ph
Andreas Mielke,cond-mat;cond-mat;cond-mat;cond-mat;cs;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Michel De Lara,q-fin;math;cs;math;astro-ph;q-fin;math;math;math;math
Byunghan Kim,math;math;math;math;math;math;math;math;math;math
M. I. Salkola,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
P. H. Potgieter,cs;quant-ph;cs;quant-ph;math;astro-ph;cs;math;physics;cs
Xuehai Zhang,math;cs;cs;math;math;math;q-bio;cs;math;math
Samuel L. Krushkal,math;math;math;math;math;math;math;math;math;math
Amy Hurst,cs;cs;math;math;math;math;astro-ph;math;math;math
R. M. Westervelt,cond-mat;physics;cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat;physics;cond-mat
Antonio Lamura,q-bio;cond-mat;physics;physics;cond-mat;cond-mat;astro-ph;astro-ph;astro-ph;astro-ph
R. Welsh,nucl-th;math;cond-mat;astro-ph;math;astro-ph;math;physics;astro-ph;astro-ph
Jean-Pierre Hurni,hep-ph;physics;math-ph;math-ph;math-ph;math-ph;physics;quant-ph;cs;cond-mat
